num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
9929,47383.99,47800,47302.99,47662.42,415490815.4,47499.344,47657.022,47836.1655,47876.68383,47748.65792,0,278.43,3646.28,1088.02,223.833299,102.0109178,2.194209246,68.69334715,46877.36841,46829.6061,47.76230498
9928,47555.74,47673.73,47302.63,47384,376248686.4,47478.866,47734.543,47861.216,47887.695,47743.21633,171.75,0,3002.26,1088.02,220.1130633,94.72442364,2.323720271,69.9132322,46981.73327,46927.61816,54.11511276
9927,47656.62,47744.53,47505,47555.74,386221414.2,47436.55,47791.464,47881.9585,47896.16767,47735.27075,100.88,0,3014.85,1088.02,211.5964159,87.95839338,2.40564212,70.6369617,47085.562,47031.72488,53.83711821
9926,47571.66,47770,47525,47656.61,360155426.1,47520.764,47826.669,47912.7395,47900.2105,47727.69433,0,84.96,3014.85,1098.79,196.4823862,87.74422242,2.239262949,69.12877973,47160.3463,47121.56926,38.77704874
9925,47328.71,47705,47270,47571.66,630232978.4,47630.434,47855.102,47949.048,47903.2925,47719.32208,0,242.95,3014.85,1239.06,182.4479301,98.83034939,1.846071892,64.86385313,47186.24841,47172.81769,13.43072215
9924,47281.6,47384.17,47200.22,47328,383592147.1,47814.7,47907.285,47999.862,47914.9805,47711.79083,0,47.11,2615.77,1286.17,169.4159351,95.13603872,1.780775586,64.03880971,47200.91789,47193.31149,7.606394528
9923,47344.16,47449.46,47050,47281.6,993137242.2,47990.22,47979.943,48046.39,47918.7525,47705.55517,62.56,0,1406.82,1286.17,161.7833683,88.34060738,1.831359021,64.6812717,47222.95513,47211.52841,11.4267213
9922,48077.69,48092,47186.03,47344.16,1229041775,48146.378,48032.405,48100.193,47925.44233,47694.24092,733.53,0,2140.35,1061.02,202.6224134,82.030564,2.470084363,71.18225681,47354.45281,47286.26883,68.18397785
9921,48120.01,48181.2,48062,48077.69,205061436,48132.574,48018.69,48120.1215,47918.20533,47677.22792,42.32,0,1924.11,1061.02,191.172241,76.171238,2.509769383,71.50809951,47472.23084,47411.16075,61.07008952
9920,48250.04,48343.56,48072.01,48120,262226953.2,48079.77,48035.15,48137.048,47910.78983,47658.3435,130.03,0,2054.14,856.6,186.8049381,70.73043528,2.641082829,72.53564263,47591.89378,47529.84633,62.04745466
9919,48159.2,48308.37,48130.38,48250.04,296810246.7,47999.87,48015.309,48143.515,47892.46333,47639.34308,0,90.84,1642.42,947.44,173.4617282,72.16683276,2.403621187,70.61952711,47679.17166,47633.91647,45.25519668
9918,48124.95,48229.2,47931,48156.25,320568397.1,47969.666,47987.889,48154.772,47880.49967,47619.09483,0,34.25,1513.5,981.69,161.0716048,69.45848757,2.318962166,69.87009945,47747.75295,47712.19228,35.560665
9917,48008.67,48150,47881.85,48124.95,348701292.5,47918.432,47972.453,48178.2265,47872.75617,47598.23375,0,116.28,1513.5,894.82,149.5664902,72.80288131,2.054403445,67.26038265,47787.89403,47767.08014,20.81389602
9916,47855.99,48030.16,47772.5,48008.67,189473598,47904.806,47998.81,48208.7355,47862.66017,47575.20425,0,152.68,1241.07,1047.5,138.8831694,78.50838979,1.769023283,63.88618304,47798.37033,47792.93818,5.432157035
9915,47850.54,48035.97,47770.42,47855.99,228634160.2,47990.53,48042.994,48249.02,47864.379,47552.22783,0,5.45,1241.07,774.52,128.962943,73.28993338,1.759626965,63.76321827,47806.39644,47802.23475,4.161682733
9914,48008.18,48050,47779.17,47850.55,192921010.6,48030.748,48092.439,48287.573,47867.086,47530.17383,157.64,0,1226.96,774.52,131.0113042,68.05493814,1.925081527,65.81291869,47837.44006,47821.34337,16.09669451
9913,47868.78,48021.02,47756.22,48008.17,276517945.5,48006.112,48112.837,48316.8355,47859.98317,47505.55742,0,139.4,1126.08,913.92,121.6533539,73.15101398,1.663043987,62.44898677,47842.26159,47839.76154,2.500052047
9912,47940.54,47940.54,47590.33,47869.39,539485001.5,48026.474,48167.981,48356.685,47853.14067,47482.9975,71.76,0,1197.84,828.96,118.0895429,67.92594156,1.738504322,63.48371656,47857.38135,47849.54147,7.839873099
9911,48284.61,48364.64,47911.88,47940.54,376575702.9,48092.814,48221.553,48375.789,47854.63183,47460.18392,344.07,0,1541.91,586.01,134.2310042,63.07408859,2.128148138,68.03220449,47923.10883,47889.02791,34.08091826
9910,48051.63,48374.26,47960,48285.15,477090809.7,48095.458,48238.946,48357.48,47848.0555,47432.61183,0,232.98,1541.91,771.88,124.6430753,75.21022512,1.657262362,62.36728392,47942.88132,47932.62892,10.25240092
9909,47885,48083.91,47843.33,48051.63,233123336,48154.13,48271.721,48337.1485,47844.18683,47407.946,0,166.63,1479.35,938.51,115.7399985,81.74020904,1.415949382,58.60840433,47933.9765,47938.59381,-4.617313178
9908,47970.59,48120,47862.09,47885,213348253.4,48219.562,48321.655,48322.4115,47844.46833,47384.95175,85.59,0,831.41,938.51,113.5864272,75.90162268,1.496495373,59.94384726,47939.60935,47936.68861,2.920735003
9907,48272.24,48278.03,47813.66,47970.69,632126729,48309.488,48384,48293.4765,47846.14667,47361.86358,301.65,0,1090.74,938.51,127.0195395,70.4800782,1.802204861,64.31381538,47990.78329,47964.24865,26.53463902
9906,48297.83,48303.28,48057,48272.23,268871048.7,48350.292,48418.661,48245.02,47846.9425,47332.62117,25.59,0,986.3,938.51,119.7745724,65.4457869,1.830134193,64.66598643,48038.02125,48013.52749,24.49375438
9905,48344.99,48432.42,48229.65,48298.42,211286389.1,48382.434,48455.046,48178.777,47847.601,47302.86092,47.16,0,1033.46,847.67,114.5878172,60.77108784,1.885564687,65.34473809,48085.24721,48060.75967,24.48753576
9904,48212.16,48390,48108.02,48344.99,369323476.7,48389.312,48482.707,48125.0795,47845.94133,47270.68958,0,132.83,1033.46,946.25,106.4029731,65.91815299,1.614168,61.74691144,48104.77225,48094.64816,10.12409721
9903,48420.22,48521.65,48168,48212.15,437371434,48423.748,48520.834,48063.334,47846.93517,47239.26125,208.06,0,1241.52,829.97,113.6641894,61.20971349,1.856963264,64.99779985,48153.30268,48128.13875,25.16392271
9902,48476.26,48557.36,48257,48420.21,335878359.7,48458.512,48545.389,48017.273,47833.5075,47205.44067,56.04,0,1297.56,677.29,109.5481758,56.8375911,1.927389492,65.83987191,48202.98842,48177.22544,25.76297734
